"Type","Source","Destination","Anchor Text","Alt Text","Path Type"
"Hyperlink","https://www.f3properties.com/","https://www.f3properties.com/","","F3 Properties","Absolute"
"Hyperlink","https://www.f3properties.com/","https://www.f3properties.com/","Home","","Absolute"
"Hyperlink","https://www.f3properties.com/","https://www.f3properties.com/history/","History","","Absolute"
"Hyperlink","https://www.f3properties.com/","https://www.f3properties.com/projects/","Current Projects","","Absolute"
"Hyperlink","https://www.f3properties.com/","https://www.f3properties.com/about/","Lifestyle & Labradors","","Absolute"
"Hyperlink","https://www.f3properties.com/","https://www.f3properties.com/contact/","Contact","","Absolute"
"Hyperlink","https://www.f3properties.com/","https://www.f3properties.com/contact/","CONTACT ME","","Absolute"
"Hyperlink","https://www.f3properties.com/","https://www.f3properties.com/projects/","Learn More","","Absolute"
"Hyperlink","https://www.f3properties.com/","https://www.f3properties.com/projects/","Learn More","","Absolute"
"Hyperlink","https://www.f3properties.com/","https://www.f3properties.com/projects/","Learn More","","Absolute"
"Hyperlink","https://www.f3properties.com/","https://www.f3properties.com/projects/","Learn More","","Absolute"
"Hyperlink","https://www.f3properties.com/","https://www.f3properties.com/projects/","Learn More","","Absolute"
"JavaScript","https://www.f3properties.com/","https://www.f3properties.com/wp-includes/js/jquery/jquery.min.js?ver=3.7.1","","","Absolute"
"JavaScript","https://www.f3properties.com/","https://www.f3properties.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1","","","Absolute"
"JavaScript","https://www.f3properties.com/","https://www.f3properties.com/wp-content/themes/astra/assets/js/minified/style.min.js?ver=4.13.1","","","Absolute"
"JavaScript","https://www.f3properties.com/","https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/128-layout.js?ver=8fcc60e3585ec37608f88f953775a3fe","","","Absolute"
"JavaScript","https://www.f3properties.com/","https://www.f3properties.com/wp-content/uploads/astra-addon/astra-addon-69e1b055c63bc4-16850826.js?ver=4.13.1","","","Absolute"
"JavaScript","https://www.f3properties.com/","https://www.f3properties.com/wp-content/plugins/astra-addon/assets/js/minified/purify.min.js?ver=4.13.1","","","Absolute"
"Image","https://www.f3properties.com/","https://www.f3properties.com/wp-content/uploads/2021/05/F3LogoFINALwTag_Reversed-270x63.png","","F3 Properties","Absolute"
"Image","https://www.f3properties.com/","https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/30_aug_VIEW3_detail-scaled-landscape-6b16e48468d50a20bbe27ac72f27a017-f9g6py7kh5lc.jpg","","30_aug_VIEW3_detail","Absolute"
"Image","https://www.f3properties.com/","https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/Sold-Indian-Creek-e1699032423882-landscape-33bcb586805e8196b52f3259de547b37-6075e01d33cb4.png","","Sold Indian Creek","Absolute"
"Image","https://www.f3properties.com/","https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/Westcliff-sold-landscape-e0a936680dbd6da6e831b23adcb54db6-6064723d34309.jpg","","Westcliff-sold","Absolute"
"Image","https://www.f3properties.com/","https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/Highcamp-sold-landscape-ba179cdcb7cdc551aa647b17b629d4bf-6075df281f86f.jpg","","Highcamp-sold","Absolute"
"Image","https://www.f3properties.com/","https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/GoldenEagle-sold-landscape-51daea85331dfb78e2dc48606bdb83a6-60ae383c61960.jpg","","GoldenEagle-sold","Absolute"
"CSS","https://www.f3properties.com/","https://www.f3properties.com/wp-content/themes/astra/assets/css/minified/compatibility/page-builder/bb-plugin.min.css?ver=4.13.1","","","Absolute"
"CSS","https://www.f3properties.com/","https://www.f3properties.com/wp-content/themes/astra/assets/css/minified/style.min.css?ver=4.13.1","","","Absolute"
"CSS","https://www.f3properties.com/","https://fonts.googleapis.com/css?family=Montserrat%3A400%2C|Playfair+Display%3A400%2C|Poppins%3A400%2C600&display=swap&ver=4.13.1","","","Absolute"
"CSS","https://www.f3properties.com/","https://www.f3properties.com/wp-content/plugins/bb-plugin/fonts/fontawesome/5.15.4/css/all.min.css?ver=2.10.2","","","Absolute"
"CSS","https://www.f3properties.com/","https://www.f3properties.com/wp-content/plugins/bb-plugin/fonts/fontawesome/5.15.4/css/v4-shims.min.css?ver=2.10.2","","","Absolute"
"CSS","https://www.f3properties.com/","https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/128-layout.css?ver=916bea4629fa8ab2f95d428093e2d515","","","Absolute"
"CSS","https://www.f3properties.com/","https://www.f3properties.com/wp-content/uploads/astra-addon/astra-addon-69e1b055c57799-53219066.css?ver=4.13.1","","","Absolute"
"HTML Canonical","https://www.f3properties.com/","https://www.f3properties.com/","","","Absolute"
"Hyperlink","https://www.f3properties.com/projects/","https://www.f3properties.com/","","F3 Properties","Absolute"
"Hyperlink","https://www.f3properties.com/projects/","https://www.f3properties.com/","Home","","Absolute"
"Hyperlink","https://www.f3properties.com/projects/","https://www.f3properties.com/history/","History","","Absolute"
"Hyperlink","https://www.f3properties.com/projects/","https://www.f3properties.com/projects/","Current Projects","","Absolute"
"Hyperlink","https://www.f3properties.com/projects/","https://www.f3properties.com/about/","Lifestyle & Labradors","","Absolute"
"Hyperlink","https://www.f3properties.com/projects/","https://www.f3properties.com/contact/","Contact","","Absolute"
"Hyperlink","https://www.f3properties.com/projects/","https://www.f3properties.com/wp-content/uploads/2024/09/41-Cooper-Renderings-Images-09-23-2024.pdf","View Project Renderings","","Absolute"
"Hyperlink","https://www.f3properties.com/projects/","https://www.f3properties.com/wp-content/uploads/2024/09/30_aug_24_finals-thumbs-scaled.jpg","View Gallery Page","","Absolute"
"Hyperlink","https://www.f3properties.com/projects/","https://www.f3properties.com/wp-content/uploads/2021/12/Lot-88-Project-Brief-Rev.-Dec.-2021.pdf","View Project Brief","","Absolute"
"Hyperlink","https://www.f3properties.com/projects/","https://www.f3properties.com/wp-content/uploads/2022/01/22_SV_Winter_F3-Properties-PROFILE-low-res-cover.pdf","View WHJ Article","","Absolute"
"Hyperlink","https://www.f3properties.com/projects/","https://www.f3properties.com/wp-content/uploads/2022/06/201-Sitting-Bull-Design-Book-Corrected-6-8-22.pdf","View Design Book","","Absolute"
"Hyperlink","https://www.f3properties.com/projects/","https://www.f3properties.com/wp-content/uploads/2022/02/Lot-88-DRONE-SHOTS.jpg","View Drone Images","","Absolute"
"Hyperlink","https://www.f3properties.com/projects/","https://www.f3properties.com/wp-content/uploads/2022/01/WHJ-F3-201-Sitting-Bull-Winter-Ad.pdf","WHJ Advertisement","","Absolute"
"Hyperlink","https://www.f3properties.com/projects/","https://www.f3properties.com/wp-content/uploads/2021/12/Lot-88-Updated-Floor-Plans-12-5-21.pdf","Renderings & Floorplans","","Absolute"
"Hyperlink","https://www.f3properties.com/projects/","https://www.f3properties.com/wp-content/uploads/2022/01/Roth-SVSourceAd-201-Sitting-Bull.pdf","Sun Valley Source Ad","","Absolute"
"JavaScript","https://www.f3properties.com/projects/","https://www.f3properties.com/wp-includes/js/jquery/jquery.min.js?ver=3.7.1","","","Absolute"
"JavaScript","https://www.f3properties.com/projects/","https://www.f3properties.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1","","","Absolute"
"JavaScript","https://www.f3properties.com/projects/","https://www.f3properties.com/wp-content/themes/astra/assets/js/minified/style.min.js?ver=4.13.1","","","Absolute"
"JavaScript","https://www.f3properties.com/projects/","https://www.f3properties.com/wp-content/plugins/bb-plugin/js/libs/jquery.easing.min.js?ver=1.4","","","Absolute"
"JavaScript","https://www.f3properties.com/projects/","https://www.f3properties.com/wp-content/plugins/bb-plugin/js/libs/jquery.fitvids.min.js?ver=1.2","","","Absolute"
"JavaScript","https://www.f3properties.com/projects/","https://www.f3properties.com/wp-content/plugins/bb-plugin/js/libs/jquery.bxslider.min.js?ver=2.10.2","","","Absolute"
"JavaScript","https://www.f3properties.com/projects/","https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/129-layout.js?ver=2b6914f0ab692142076d37c2f7c4dddd","","","Absolute"
"JavaScript","https://www.f3properties.com/projects/","https://www.f3properties.com/wp-content/uploads/astra-addon/astra-addon-69e1b055c63bc4-16850826.js?ver=4.13.1","","","Absolute"
"JavaScript","https://www.f3properties.com/projects/","https://www.f3properties.com/wp-content/plugins/astra-addon/assets/js/minified/purify.min.js?ver=4.13.1","","","Absolute"
"Image","https://www.f3properties.com/projects/","https://www.f3properties.com/wp-content/uploads/2021/05/F3LogoFINALwTag_Reversed-270x63.png","","F3 Properties","Absolute"
"Image","https://www.f3properties.com/projects/","https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/30_aug_VIEW3_detail-scaled-landscape-6b16e48468d50a20bbe27ac72f27a017-8sbzcrdqa0ft.jpg","","30_aug_VIEW3_detail","Absolute"
"Image","https://www.f3properties.com/projects/","https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/201sitingbull_NEW-landscape-f1beea95cf41397c17078dd13ee66ce1-6075e52370993.png","","201sitingbull_NEW","Absolute"
"Image","https://www.f3properties.com/projects/","https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/Westcliff-sold-landscape-e0a936680dbd6da6e831b23adcb54db6-6075e007183ee.jpg","","Westcliff-sold","Absolute"
"Image","https://www.f3properties.com/projects/","https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/GoldenEagle-sold-landscape-51daea85331dfb78e2dc48606bdb83a6-6075e0a72941a.jpg","","GoldenEagle-sold","Absolute"
"Image","https://www.f3properties.com/projects/","https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/Highcamp-sold-landscape-ba179cdcb7cdc551aa647b17b629d4bf-6075e0dc29cc4.jpg","","Highcamp-sold","Absolute"
