"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"JavaScript","https://www.f3properties.com/","https://www.f3properties.com/wp-content/uploads/astra-addon/astra-addon-69e1b055c63bc4-16850826.js?ver=4.13.1","0","","","404","Not Found","true","","","Absolute","//body/script[@id='astra-addon-js-js']","Content","HTML"
"JavaScript","https://www.f3properties.com/projects/","https://www.f3properties.com/wp-content/uploads/astra-addon/astra-addon-69e1b055c63bc4-16850826.js?ver=4.13.1","0","","","404","Not Found","true","","","Absolute","//body/script[@id='astra-addon-js-js']","Content","HTML"
"JavaScript","https://www.f3properties.com/contact/","https://www.f3properties.com/wp-content/uploads/astra-addon/astra-addon-69e1b055c63bc4-16850826.js?ver=4.13.1","0","","","404","Not Found","true","","","Absolute","//body/script[@id='astra-addon-js-js']","Content","HTML"
"JavaScript","https://www.f3properties.com/history/","https://www.f3properties.com/wp-content/uploads/astra-addon/astra-addon-69e1b055c63bc4-16850826.js?ver=4.13.1","0","","","404","Not Found","true","","","Absolute","//body/script[@id='astra-addon-js-js']","Content","HTML"
"JavaScript","https://www.f3properties.com/about/","https://www.f3properties.com/wp-content/uploads/astra-addon/astra-addon-69e1b055c63bc4-16850826.js?ver=4.13.1","0","","","404","Not Found","true","","","Absolute","//body/script[@id='astra-addon-js-js']","Content","HTML"
"CSS","https://www.f3properties.com/","https://www.f3properties.com/wp-content/uploads/astra-addon/astra-addon-69e1b055c57799-53219066.css?ver=4.13.1","0","","","404","Not Found","true","","","Absolute","//head/link[@id='astra-addon-css-css']","Head","HTML"
"CSS","https://www.f3properties.com/projects/","https://www.f3properties.com/wp-content/uploads/astra-addon/astra-addon-69e1b055c57799-53219066.css?ver=4.13.1","0","","","404","Not Found","true","","","Absolute","//head/link[@id='astra-addon-css-css']","Head","HTML"
"CSS","https://www.f3properties.com/contact/","https://www.f3properties.com/wp-content/uploads/astra-addon/astra-addon-69e1b055c57799-53219066.css?ver=4.13.1","0","","","404","Not Found","true","","","Absolute","//head/link[@id='astra-addon-css-css']","Head","HTML"
"CSS","https://www.f3properties.com/history/","https://www.f3properties.com/wp-content/uploads/astra-addon/astra-addon-69e1b055c57799-53219066.css?ver=4.13.1","0","","","404","Not Found","true","","","Absolute","//head/link[@id='astra-addon-css-css']","Head","HTML"
"CSS","https://www.f3properties.com/about/","https://www.f3properties.com/wp-content/uploads/astra-addon/astra-addon-69e1b055c57799-53219066.css?ver=4.13.1","0","","","404","Not Found","true","","","Absolute","//head/link[@id='astra-addon-css-css']","Head","HTML"
"JavaScript","https://www.f3properties.com/history/","https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/238-layout.js?ver=c1a4ce84dfde456457a8c677e0273769","0","","","404","Not Found","true","","","Absolute","//body/script[@id='fl-builder-layout-238-js']","Content","HTML"
"CSS","https://www.f3properties.com/history/","https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/238-layout.css?ver=e7d7d702778912e400cff50f50e06c4c","0","","","404","Not Found","true","","","Absolute","//head/link[@id='fl-builder-layout-238-css']","Head","HTML"
"CSS","https://www.f3properties.com/about/","https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/250-layout.css?ver=1071a55a3e1659f9465ed93e1d6b4b30","0","","","404","Not Found","true","","","Absolute","//head/link[@id='fl-builder-layout-250-css']","Head","HTML"
"JavaScript","https://www.f3properties.com/about/","https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/250-layout.js?ver=892e4a312b3ad08b088188b308d54378","0","","","404","Not Found","true","","","Absolute","//body/script[@id='fl-builder-layout-250-js']","Content","HTML"
"CSS","https://www.f3properties.com/projects/","https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/129-layout.css?ver=ef59d784135bfe5bce0d1f50504f3837","0","","","404","Not Found","true","","","Absolute","//head/link[@id='fl-builder-layout-129-css']","Head","HTML"
"JavaScript","https://www.f3properties.com/projects/","https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/129-layout.js?ver=2b6914f0ab692142076d37c2f7c4dddd","0","","","404","Not Found","true","","","Absolute","//body/script[@id='fl-builder-layout-129-js']","Content","HTML"
