"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin","Real Dimensions","Dimensions in Attributes","Display Dimensions","Incorrectly Sized Images Potential Savings (bytes)"
"Image","https://www.f3properties.com/","https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/GoldenEagle-sold-landscape-51daea85331dfb78e2dc48606bdb83a6-60ae383c61960.jpg","333893","GoldenEagle-sold","","200","OK","true","","","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[3]/div/div/div[9]/div[2]/div/div[1]/div/div/div/img","Content","HTML","","1920x1344","","0"
"Image","https://www.f3properties.com/","https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/30_aug_VIEW3_detail-scaled-landscape-6b16e48468d50a20bbe27ac72f27a017-f9g6py7kh5lc.jpg","1328271","30_aug_VIEW3_detail","","200","OK","true","","","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[3]/div/div/div[2]/div/div/div[1]/div[2]/div/div/div/div/div/img","Content","HTML","","2560x1885","","0"
"Image","https://www.f3properties.com/","https://www.f3properties.com/wp-content/uploads/2021/05/F3LogoFINALwTag_Reversed-270x63.png","9851","F3 Properties","","200","OK","true","","","Absolute","//body/div/header/div/div/div/div/div[@class='site-branding']/div/span/a/img","Header","HTML","","270x63","","0"
"Image","https://www.f3properties.com/projects/","https://www.f3properties.com/wp-content/uploads/2021/05/F3LogoFINALwTag_Reversed-270x63.png","9851","F3 Properties","","200","OK","true","","","Absolute","//body/div/header/div/div/div/div/div[@class='site-branding']/div/span/a/img","Header","HTML","","270x63","","0"
"Image","https://www.f3properties.com/contact/","https://www.f3properties.com/wp-content/uploads/2021/05/F3LogoFINALwTag_Reversed-270x63.png","9851","F3 Properties","","200","OK","true","","","Absolute","//body/div/header/div/div/div/div/div[@class='site-branding']/div/span/a/img","Header","HTML","","270x63","","0"
"Image","https://www.f3properties.com/history/","https://www.f3properties.com/wp-content/uploads/2021/05/F3LogoFINALwTag_Reversed-270x63.png","9851","F3 Properties","","200","OK","true","","","Absolute","//body/div/header/div/div/div/div/div[@class='site-branding']/div/span/a/img","Header","HTML","","270x63","","0"
"Image","https://www.f3properties.com/about/","https://www.f3properties.com/wp-content/uploads/2021/05/F3LogoFINALwTag_Reversed-270x63.png","9851","F3 Properties","","200","OK","true","","","Absolute","//body/div/header/div/div/div/div/div[@class='site-branding']/div/span/a/img","Header","HTML","","270x63","","0"
"Image","https://www.f3properties.com/","https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/Sold-Indian-Creek-e1699032423882-landscape-33bcb586805e8196b52f3259de547b37-6075e01d33cb4.png","172623","Sold Indian Creek","","200","OK","true","","","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[3]/div/div/div[3]/div[2]/div/div/div/div/div/img","Content","HTML","","530x322","","0"
"Image","https://www.f3properties.com/","https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/Westcliff-sold-landscape-e0a936680dbd6da6e831b23adcb54db6-6064723d34309.jpg","309164","Westcliff-sold","","200","OK","true","","","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[3]/div/div/div[5]/div[2]/div/div/div/div/div/img","Content","HTML","","1920x1344","","0"
"Image","https://www.f3properties.com/","https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/Highcamp-sold-landscape-ba179cdcb7cdc551aa647b17b629d4bf-6075df281f86f.jpg","282078","Highcamp-sold","","200","OK","true","","","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[3]/div/div/div[7]/div[2]/div/div/div/div/div/img","Content","HTML","","1920x1344","","0"
"Image","https://www.f3properties.com/about/","https://www.f3properties.com/wp-content/uploads/2021/03/Memorial-150x150.jpg","25361","The Sacred Dog Tree","","200","OK","true","","","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[4]/div/div/div/div/div/div/div/div/div[@class='fl-gallery-item'][3]/div/div[1]/a/img","Content","HTML","","150x150","","0"
"Hyperlink","https://www.f3properties.com/about/","https://www.f3properties.com/wp-content/uploads/2021/11/Raven-Bandana-735x1024.jpg","219673","Raven-Bandana","","200","OK","true","_self","","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[4]/div/div/div/div/div/div/div/div/div[@class='fl-gallery-item'][18]/div/div[1]/a","Content","HTML","","","","0"
"Image","https://www.f3properties.com/about/","https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/JasonRoth_portriat-portrait-811b01acc70329134695b4be067e600e-60a692a15f1d9.jpg","134515","JasonRoth_portriat","","200","OK","true","","","Absolute","//body/div/div/div/div/main/article/div/div[1]/div[2]/div/div/div/div/div/div[2]/div[2]/div/div/div/div/div/img","Content","HTML","","1600x1065","","0"
