"Type","Source","Source Segments","Destination","Destination Segments","Form Action Link","Indexability","Indexability Status","hreflang","Size (Bytes)","Alt Text","Length","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Unlinked","Link Path","Link Position","Link Origin","Real Dimensions","Dimensions in Attributes","Display Dimensions","Incorrectly Sized Images Potential Savings (bytes)"
"Hyperlink","https://www.f3properties.com/","","https://www.f3properties.com/","","https://www.f3properties.com/","Indexable","","","103170","","0","Skip to content","200","OK","true","","","Path-Relative","false","//body/a","Content","HTML","","","","0"
"Hyperlink","https://www.f3properties.com/","","https://www.f3properties.com/","","https://www.f3properties.com/","Indexable","","","103170","F3 Properties","13","","200","OK","true","","","Absolute","false","//body/div/header/div/div/div/div/div[@class='site-branding']/div/span/a","Header","HTML","","","","0"
"Hyperlink","https://www.f3properties.com/","","https://www.f3properties.com/","","https://www.f3properties.com/","Indexable","","","103170","","0","Home","200","OK","true","","","Absolute","false","//body/div/header/div/div/div/div/div[@class='ast-main-header-bar-alignment']/div/nav/div/ul/li[@id='menu-item-602']/a","Navigation","HTML","","","","0"
"Hyperlink","https://www.f3properties.com/projects/","","https://www.f3properties.com/","","https://www.f3properties.com/","Indexable","","","103170","F3 Properties","13","","200","OK","true","","","Absolute","false","//body/div/header/div/div/div/div/div[@class='site-branding']/div/span/a","Header","HTML","","","","0"
"Hyperlink","https://www.f3properties.com/projects/","","https://www.f3properties.com/","","https://www.f3properties.com/","Indexable","","","103170","","0","Home","200","OK","true","","","Absolute","false","//body/div/header/div/div/div/div/div[@class='ast-main-header-bar-alignment']/div/nav/div/ul/li[@id='menu-item-602']/a","Navigation","HTML","","","","0"
"Hyperlink","https://www.f3properties.com/contact/","","https://www.f3properties.com/","","https://www.f3properties.com/","Indexable","","","103170","F3 Properties","13","","200","OK","true","","","Absolute","false","//body/div/header/div/div/div/div/div[@class='site-branding']/div/span/a","Header","HTML","","","","0"
"Hyperlink","https://www.f3properties.com/contact/","","https://www.f3properties.com/","","https://www.f3properties.com/","Indexable","","","103170","","0","Home","200","OK","true","","","Absolute","false","//body/div/header/div/div/div/div/div[@class='ast-main-header-bar-alignment']/div/nav/div/ul/li[@id='menu-item-602']/a","Navigation","HTML","","","","0"
"Hyperlink","https://www.f3properties.com/history/","","https://www.f3properties.com/","","https://www.f3properties.com/","Indexable","","","103170","F3 Properties","13","","200","OK","true","","","Absolute","false","//body/div/header/div/div/div/div/div[@class='site-branding']/div/span/a","Header","HTML","","","","0"
"Hyperlink","https://www.f3properties.com/history/","","https://www.f3properties.com/","","https://www.f3properties.com/","Indexable","","","103170","","0","Home","200","OK","true","","","Absolute","false","//body/div/header/div/div/div/div/div[@class='ast-main-header-bar-alignment']/div/nav/div/ul/li[@id='menu-item-602']/a","Navigation","HTML","","","","0"
"Hyperlink","https://www.f3properties.com/about/","","https://www.f3properties.com/","","https://www.f3properties.com/","Indexable","","","103170","F3 Properties","13","","200","OK","true","","","Absolute","false","//body/div/header/div/div/div/div/div[@class='site-branding']/div/span/a","Header","HTML","","","","0"
"Hyperlink","https://www.f3properties.com/about/","","https://www.f3properties.com/","","https://www.f3properties.com/","Indexable","","","103170","","0","Home","200","OK","true","","","Absolute","false","//body/div/header/div/div/div/div/div[@class='ast-main-header-bar-alignment']/div/nav/div/ul/li[@id='menu-item-602']/a","Navigation","HTML","","","","0"
"HTML Canonical","https://www.f3properties.com/","","https://www.f3properties.com/","","https://www.f3properties.com/","Indexable","","","103170","","0","","200","OK","true","","","Absolute","false","//head/link[20]","Head","HTML","","","","0"
"Hyperlink","https://www.f3properties.com/","","https://www.f3properties.com/projects/","","https://www.f3properties.com/projects/","Indexable","","","114717","","0","Current Projects","200","OK","true","","","Absolute","false","//body/div/header/div/div/div/div/div[@class='ast-main-header-bar-alignment']/div/nav/div/ul/li[@id='menu-item-574']/a","Navigation","HTML","","","","0"
"Hyperlink","https://www.f3properties.com/","","https://www.f3properties.com/projects/","","https://www.f3properties.com/projects/","Indexable","","","114717","","0","Testimonial","200","OK","true","","","Root-Relative","false","//body/div/header/div/div/div/div/div[@class='ast-main-header-bar-alignment']/div/nav/div/ul/li[@id='menu-item-572']/a","Navigation","HTML","","","","0"
"Hyperlink","https://www.f3properties.com/","","https://www.f3properties.com/projects/","","https://www.f3properties.com/projects/","Indexable","","","114717","","0","Learn More","200","OK","true","_self","","Absolute","false","//body/div/div/div/div/main/article/div/div[1]/div[3]/div/div/div[2]/div/div/div[1]/div[1]/div/div/div/div/div/div/div[@class='uabb-infobox-text-wrap']/div[@class='uabb-infobox-button']/div/a","Content","HTML","","","","0"
"Hyperlink","https://www.f3properties.com/","","https://www.f3properties.com/projects/","","https://www.f3properties.com/projects/","Indexable","","","114717","","0","Learn More","200","OK","true","_self","","Absolute","false","//body/div/div/div/div/main/article/div/div[1]/div[3]/div/div/div[3]/div[1]/div/div/div/div/div/div/div[@class='uabb-infobox-text-wrap']/div[@class='uabb-infobox-button']/div/a","Content","HTML","","","","0"
"Hyperlink","https://www.f3properties.com/","","https://www.f3properties.com/projects/","","https://www.f3properties.com/projects/","Indexable","","","114717","","0","Learn More","200","OK","true","_self","","Absolute","false","//body/div/div/div/div/main/article/div/div[1]/div[3]/div/div/div[5]/div[1]/div/div/div/div/div/div/div[@class='uabb-infobox-text-wrap']/div[@class='uabb-infobox-button']/div/a","Content","HTML","","","","0"
"Hyperlink","https://www.f3properties.com/","","https://www.f3properties.com/projects/","","https://www.f3properties.com/projects/","Indexable","","","114717","","0","Learn More","200","OK","true","_self","","Absolute","false","//body/div/div/div/div/main/article/div/div[1]/div[3]/div/div/div[7]/div[1]/div/div/div/div/div/div/div[@class='uabb-infobox-text-wrap']/div[@class='uabb-infobox-button']/div/a","Content","HTML","","","","0"
"Hyperlink","https://www.f3properties.com/","","https://www.f3properties.com/projects/","","https://www.f3properties.com/projects/","Indexable","","","114717","","0","Learn More","200","OK","true","_self","","Absolute","false","//body/div/div/div/div/main/article/div/div[1]/div[3]/div/div/div[9]/div[1]/div/div/div/div/div/div/div[@class='uabb-infobox-text-wrap']/div[@class='uabb-infobox-button']/div/a","Content","HTML","","","","0"
"Hyperlink","https://www.f3properties.com/projects/","","https://www.f3properties.com/projects/","","https://www.f3properties.com/projects/","Indexable","","","114717","","0","Skip to content","200","OK","true","","","Path-Relative","false","//body/a","Content","HTML","","","","0"
"Hyperlink","https://www.f3properties.com/projects/","","https://www.f3properties.com/projects/","","https://www.f3properties.com/projects/","Indexable","","","114717","","0","Current Projects","200","OK","true","","","Absolute","false","//body/div/header/div/div/div/div/div[@class='ast-main-header-bar-alignment']/div/nav/div/ul/li[@id='menu-item-574']/a","Navigation","HTML","","","","0"
"Hyperlink","https://www.f3properties.com/projects/","","https://www.f3properties.com/projects/","","https://www.f3properties.com/projects/","Indexable","","","114717","","0","Testimonial","200","OK","true","","","Root-Relative","false","//body/div/header/div/div/div/div/div[@class='ast-main-header-bar-alignment']/div/nav/div/ul/li[@id='menu-item-572']/a","Navigation","HTML","","","","0"
