"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://www.f3properties.com/","text/html; charset=UTF-8","200","OK","Indexable","","F3 Properties – Full-service real estate broker","47","398","","0","0","","0","F3 PROPERTIES","13","CURRENT PROJECTS","16","Greetings, and thank you for visiting my site.","46","Search Property Listings","24","max-image-preview:large","","","https://www.f3properties.com/","","","","","","103170","19019","19019","7.286","","325","57","5.702","67.770","Normal","2.105","0","0","","11","5","0","100.000","14","5","0","0","0","0","","","","","ab8661e5f526abbedc33e01941938af0","0.115","","","","","en-US","1.1","","","","","","https://www.f3properties.com/","2026-05-19 11:29:00"
"https://www.f3properties.com/wp-content/uploads/astra-addon/astra-addon-69e1b055c63bc4-16850826.js?ver=4.13.1","text/html; charset=UTF-8","404","Not Found","Non-Indexable","Client Error","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.297","","","","","","1.1","","","","","","https://www.f3properties.com/wp-content/uploads/astra-addon/astra-addon-69e1b055c63bc4-16850826.js?ver=4.13.1","2026-05-19 11:29:00"
"https://www.f3properties.com/projects/","text/html; charset=UTF-8","200","OK","Indexable","","Current Projects – F3 Properties","32","282","","0","0","","0","Current & Recent Projects","25","","0","41 Cooper Drive/Griffin Ranch","29","Indian Creek-Luxury Spec.","25","max-image-preview:large","","","https://www.f3properties.com/projects/","","","","","","114717","24682","24682","9.455","","1112","175","6.354","69.377","Normal","6.072","1","1","","17","5","0","100.000","17","14","0","0","0","0","","","","","14d9c726e6ed656e5220b0b997668ff1","0.287","","","","","en-US","1.1","","","","","","https://www.f3properties.com/projects/","2026-05-19 11:29:00"
"https://www.f3properties.com/wp-content/uploads/astra-addon/astra-addon-69e1b055c57799-53219066.css?ver=4.13.1","text/html; charset=UTF-8","404","Not Found","Non-Indexable","Client Error","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.274","","","","","","1.1","","","","","","https://www.f3properties.com/wp-content/uploads/astra-addon/astra-addon-69e1b055c57799-53219066.css?ver=4.13.1","2026-05-19 11:29:01"
"https://www.f3properties.com/contact/","text/html; charset=UTF-8","200","OK","Indexable","","Contact – F3 Properties","23","210","","0","0","","0","Let's Talk!","11","","0","The Code of the West","20","Jason Roth","10","max-image-preview:large","","","https://www.f3properties.com/contact/","","","","","","86997","19099","19099","7.316","","127","43","2.953","100.000","Very Easy","0.903","1","1","","7","5","0","100.000","8","5","0","0","0","0","","","","","a1327e67fc260d102679ab15a1d4749e","0.329","","","","","en-US","1.1","","","","","","https://www.f3properties.com/contact/","2026-05-19 11:29:01"
"https://www.f3properties.com/history/","text/html; charset=UTF-8","200","OK","Indexable","","History – F3 Properties","23","203","","0","0","","0","History","7","","0","My grandfather built modest homes, schoolhouses and iconic barns on the plains of South Dakota back in the 20’s, 30’s and 40’s.","127","","0","max-image-preview:large","","","https://www.f3properties.com/history/","","","","","","100904","22198","22198","8.504","","878","130","6.754","74.043","Fairly Easy","5.248","1","1","","6","5","0","100.000","9","5","0","0","0","0","","","","","2ffae5514d5aa174ae8cdfa0870a7a6e","0.116","","","","","en-US","1.1","","","","","","https://www.f3properties.com/history/","2026-05-19 11:29:01"
"https://www.f3properties.com/about/","text/html; charset=UTF-8","200","OK","Indexable","","Lifestyle & Labradors – F3 Properties","37","326","","0","0","","0","""In the late 70’s, there was an unwritten rule you had to follow in order to obtain 'Local' status""","99","","0","Lifestyle & Labradors","21","About","5","max-image-preview:large","","","https://www.f3properties.com/about/","","","","","","101416","20562","20562","7.877","","298","52","5.731","80.932","Easy","1.811","1","1","","6","5","0","100.000","26","23","0","0","0","0","","","","","e16803fb325bcb951dfa5c14ac01f112","0.364","","","","","en-US","1.1","","","","","","https://www.f3properties.com/about/","2026-05-19 11:29:01"
"https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/238-layout.js?ver=c1a4ce84dfde456457a8c677e0273769","text/html; charset=UTF-8","404","Not Found","Non-Indexable","Client Error","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","2","4","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.326","","","","","","1.1","","","","","","https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/238-layout.js?ver=c1a4ce84dfde456457a8c677e0273769","2026-05-19 11:29:01"
"https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/238-layout.css?ver=e7d7d702778912e400cff50f50e06c4c","text/html; charset=UTF-8","404","Not Found","Non-Indexable","Client Error","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","2","4","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.330","","","","","","1.1","","","","","","https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/238-layout.css?ver=e7d7d702778912e400cff50f50e06c4c","2026-05-19 11:29:02"
"https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/250-layout.css?ver=1071a55a3e1659f9465ed93e1d6b4b30","text/html; charset=UTF-8","404","Not Found","Non-Indexable","Client Error","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","2","4","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.336","","","","","","1.1","","","","","","https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/250-layout.css?ver=1071a55a3e1659f9465ed93e1d6b4b30","2026-05-19 11:29:02"
"https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/250-layout.js?ver=892e4a312b3ad08b088188b308d54378","text/html; charset=UTF-8","404","Not Found","Non-Indexable","Client Error","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","2","4","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.324","","","","","","1.1","","","","","","https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/250-layout.js?ver=892e4a312b3ad08b088188b308d54378","2026-05-19 11:29:04"
"https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/129-layout.css?ver=ef59d784135bfe5bce0d1f50504f3837","text/html; charset=UTF-8","404","Not Found","Non-Indexable","Client Error","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","2","4","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.299","","","","","","1.1","","","","","","https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/129-layout.css?ver=ef59d784135bfe5bce0d1f50504f3837","2026-05-19 11:29:05"
"https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/129-layout.js?ver=2b6914f0ab692142076d37c2f7c4dddd","text/html; charset=UTF-8","404","Not Found","Non-Indexable","Client Error","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","2","4","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.310","","","","","","1.1","","","","","","https://www.f3properties.com/wp-content/uploads/bb-plugin/cache/129-layout.js?ver=2b6914f0ab692142076d37c2f7c4dddd","2026-05-19 11:29:05"
