"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"Hyperlink","https://www.f3properties.com/","https://www.f3properties.com/","103170","","Skip to content","200","OK","true","","","Path-Relative","//body/a","Content","HTML"
"Hyperlink","https://www.f3properties.com/","https://www.f3properties.com/","103170","F3 Properties","","200","OK","true","","","Absolute","//body/div/header/div/div/div/div/div[@class='site-branding']/div/span/a","Header","HTML"
"Hyperlink","https://www.f3properties.com/","https://www.f3properties.com/","103170","","Home","200","OK","true","","","Absolute","//body/div/header/div/div/div/div/div[@class='ast-main-header-bar-alignment']/div/nav/div/ul/li[@id='menu-item-602']/a","Navigation","HTML"
"Hyperlink","https://www.f3properties.com/projects/","https://www.f3properties.com/","103170","F3 Properties","","200","OK","true","","","Absolute","//body/div/header/div/div/div/div/div[@class='site-branding']/div/span/a","Header","HTML"
"Hyperlink","https://www.f3properties.com/projects/","https://www.f3properties.com/","103170","","Home","200","OK","true","","","Absolute","//body/div/header/div/div/div/div/div[@class='ast-main-header-bar-alignment']/div/nav/div/ul/li[@id='menu-item-602']/a","Navigation","HTML"
"Hyperlink","https://www.f3properties.com/contact/","https://www.f3properties.com/","103170","F3 Properties","","200","OK","true","","","Absolute","//body/div/header/div/div/div/div/div[@class='site-branding']/div/span/a","Header","HTML"
"Hyperlink","https://www.f3properties.com/contact/","https://www.f3properties.com/","103170","","Home","200","OK","true","","","Absolute","//body/div/header/div/div/div/div/div[@class='ast-main-header-bar-alignment']/div/nav/div/ul/li[@id='menu-item-602']/a","Navigation","HTML"
"Hyperlink","https://www.f3properties.com/history/","https://www.f3properties.com/","103170","F3 Properties","","200","OK","true","","","Absolute","//body/div/header/div/div/div/div/div[@class='site-branding']/div/span/a","Header","HTML"
"Hyperlink","https://www.f3properties.com/history/","https://www.f3properties.com/","103170","","Home","200","OK","true","","","Absolute","//body/div/header/div/div/div/div/div[@class='ast-main-header-bar-alignment']/div/nav/div/ul/li[@id='menu-item-602']/a","Navigation","HTML"
"Hyperlink","https://www.f3properties.com/about/","https://www.f3properties.com/","103170","F3 Properties","","200","OK","true","","","Absolute","//body/div/header/div/div/div/div/div[@class='site-branding']/div/span/a","Header","HTML"
"Hyperlink","https://www.f3properties.com/about/","https://www.f3properties.com/","103170","","Home","200","OK","true","","","Absolute","//body/div/header/div/div/div/div/div[@class='ast-main-header-bar-alignment']/div/nav/div/ul/li[@id='menu-item-602']/a","Navigation","HTML"
"HTML Canonical","https://www.f3properties.com/","https://www.f3properties.com/","103170","","","200","OK","true","","","Absolute","//head/link[20]","Head","HTML"
"JavaScript","https://www.f3properties.com/","https://www.f3properties.com/wp-content/themes/astra/assets/js/minified/style.min.js?ver=4.13.1","0","","","200","OK","true","","","Absolute","//body/script[@id='astra-theme-js-js']","Content","HTML"
"JavaScript","https://www.f3properties.com/projects/","https://www.f3properties.com/wp-content/themes/astra/assets/js/minified/style.min.js?ver=4.13.1","0","","","200","OK","true","","","Absolute","//body/script[@id='astra-theme-js-js']","Content","HTML"
